Epoch: [0][440/1042]	 Time 0.363 (1.780)	 Data 0.000 (1.430)	 Loss 0.531 (2.522)	 EPE 3.015 (17.021)
Epoch: [0][450/1042]	 Time 3.851 (1.774)	 Data 3.523 (1.425)	 Loss 0.718 (2.481)	 EPE 4.579 (16.739)
Epoch: [0][460/1042]	 Time 2.069 (1.776)	 Data 1.739 (1.427)	 Loss 0.679 (2.442)	 EPE 4.232 (16.468)
Epoch: [0][470/1042]	 Time 0.351 (1.776)	 Data 0.000 (1.427)	 Loss 0.522 (2.404)	 EPE 3.227 (16.200)
Epoch: [0][480/1042]	 Time 0.350 (1.770)	 Data 0.000 (1.421)	 Loss 0.730 (2.367)	 EPE 4.462 (15.948)
Epoch: [0][490/1042]	 Time 4.808 (1.772)	 Data 4.473 (1.424)	 Loss 0.836 (2.332)	 EPE 5.333 (15.706)
Epoch: [0][500/1042]	 Time 0.354 (1.772)	 Data 0.000 (1.423)	 Loss 0.438 (2.298)	 EPE 2.774 (15.468)
Epoch: [0][510/1042]	 Time 0.349 (1.781)	 Data 0.005 (1.432)	 Loss 0.690 (2.265)	 EPE 4.320 (15.247)
Epoch: [0][520/1042]	 Time 0.356 (1.780)	 Data 0.000 (1.432)	 Loss 0.588 (2.234)	 EPE 4.085 (15.030)
Epoch: [0][530/1042]	 Time 3.798 (1.781)	 Data 3.469 (1.433)	 Loss 0.575 (2.203)	 EPE 3.756 (14.820)
Epoch: [0][540/1042]	 Time 0.351 (1.774)	 Data 0.000 (1.426)	 Loss 0.509 (2.173)	 EPE 3.327 (14.614)
Epoch: [0][550/1042]	 Time 0.355 (1.776)	 Data 0.000 (1.427)	 Loss 0.599 (2.145)	 EPE 3.746 (14.421)
Epoch: [0][560/1042]	 Time 0.374 (1.774)	 Data 0.000 (1.425)	 Loss 0.786 (2.119)	 EPE 5.620 (14.242)
Epoch: [0][570/1042]	 Time 1.540 (1.772)	 Data 1.212 (1.424)	 Loss 0.583 (2.094)	 EPE 3.311 (14.076)
Epoch: [0][580/1042]	 Time 0.348 (1.765)	 Data 0.000 (1.417)	 Loss 0.579 (2.069)	 EPE 3.848 (13.904)
Epoch: [0][590/1042]	 Time 0.351 (1.764)	 Data 0.000 (1.416)	 Loss 0.648 (2.045)	 EPE 4.023 (13.735)
Epoch: [0][600/1042]	 Time 0.353 (1.755)	 Data 0.000 (1.407)	 Loss 0.535 (2.021)	 EPE 3.224 (13.573)
Epoch: [0][610/1042]	 Time 1.623 (1.762)	 Data 1.288 (1.413)	 Loss 0.612 (1.997)	 EPE 3.751 (13.409)
Epoch: [0][620/1042]	 Time 0.351 (1.757)	 Data 0.000 (1.409)	 Loss 0.563 (1.975)	 EPE 3.552 (13.255)
Epoch: [0][630/1042]	 Time 0.367 (1.760)	 Data 0.000 (1.411)	 Loss 0.717 (1.953)	 EPE 4.459 (13.105)
Epoch: [0][640/1042]	 Time 0.365 (1.752)	 Data 0.034 (1.404)	 Loss 0.514 (1.931)	 EPE 3.227 (12.956)
Epoch: [0][650/1042]	 Time 2.982 (1.767)	 Data 2.643 (1.419)	 Loss 0.555 (1.911)	 EPE 3.598 (12.814)
Epoch: [0][660/1042]	 Time 0.351 (1.760)	 Data 0.000 (1.412)	 Loss 0.424 (1.891)	 EPE 2.698 (12.676)
Epoch: [0][670/1042]	 Time 0.351 (1.755)	 Data 0.000 (1.407)	 Loss 0.505 (1.870)	 EPE 3.128 (12.538)
Epoch: [0][680/1042]	 Time 0.353 (1.753)	 Data 0.000 (1.405)	 Loss 0.445 (1.851)	 EPE 2.807 (12.405)
Epoch: [0][690/1042]	 Time 2.401 (1.762)	 Data 2.055 (1.414)	 Loss 0.691 (1.833)	 EPE 4.304 (12.282)
Epoch: [0][700/1042]	 Time 0.350 (1.757)	 Data 0.000 (1.409)	 Loss 0.576 (1.815)	 EPE 3.371 (12.159)
Epoch: [0][710/1042]	 Time 0.351 (1.747)	 Data 0.000 (1.399)	 Loss 0.456 (1.797)	 EPE 2.759 (12.034)
Epoch: [0][720/1042]	 Time 0.353 (1.746)	 Data 0.000 (1.398)	 Loss 0.606 (1.779)	 EPE 3.893 (11.909)
Epoch: [0][730/1042]	 Time 6.266 (1.759)	 Data 5.934 (1.411)	 Loss 0.585 (1.761)	 EPE 3.901 (11.787)
Epoch: [0][740/1042]	 Time 0.349 (1.750)	 Data 0.000 (1.402)	 Loss 0.622 (1.745)	 EPE 3.776 (11.672)
